src_id,ad_cate,date,converted
560,310,2021-08-17,0
672,471,2021-08-17,0
818,305,2021-08-17,0
238,485,2021-08-17,1
327,385,2021-08-17,0
556,413,2021-08-17,0
668,436,2021-08-17,0
615,312,2021-08-17,0
705,31,2021-08-17,0
898,45,2021-08-17,0
877,56,2021-08-17,1
14,116,2021-08-17,0
981,499,2021-08-17,0
619,220,2021-08-17,0
247,385,2021-08-17,0
121,222,2021-08-17,0
504,263,2021-08-17,0
722,155,2021-08-17,0
517,23,2021-08-17,0
726,335,2021-08-17,0
249,468,2021-08-17,0
285,420,2021-08-17,0
904,6,2021-08-17,0
306,436,2021-08-17,0
240,411,2021-08-17,0
173,433,2021-08-17,0
686,475,2021-08-17,0
684,207,2021-08-17,0
748,152,2021-08-17,0
208,199,2021-08-17,0
802,160,2021-08-17,0
919,106,2021-08-17,0
207,169,2021-08-17,0
277,303,2021-08-17,0
230,244,2021-08-17,0
410,183,2021-08-17,0
954,313,2021-08-17,0
139,499,2021-08-17,0
87,56,2021-08-17,0
764,85,2021-08-17,0
466,385,2021-08-17,0
176,238,2021-08-17,0
619,260,2021-08-17,0
861,424,2021-08-17,0
71,247,2021-08-17,0
220,112,2021-08-17,1
513,411,2021-08-17,1
573,403,2021-08-17,0
745,415,2021-08-17,0
743,85,2021-08-17,0
960,148,2021-08-17,0
602,211,2021-08-17,0
732,466,2021-08-17,0
257,199,2021-08-17,0
386,152,2021-08-17,0
400,113,2021-08-17,0
829,220,2021-08-17,0
953,136,2021-08-17,0
260,26,2021-08-17,0
453,217,2021-08-17,0
196,159,2021-08-17,0
888,255,2021-08-17,0
734,101,2021-08-17,0
531,406,2021-08-17,0
732,240,2021-08-17,1
749,7,2021-08-17,0
790,135,2021-08-17,0
539,11,2021-08-17,0
575,9,2021-08-17,1
681,331,2021-08-17,0
636,392,2021-08-17,0
384,85,2021-08-17,0
215,99,2021-08-17,0
328,413,2021-08-17,0
614,76,2021-08-17,0
646,244,2021-08-17,0
114,30,2021-08-17,0
180,317,2021-08-17,0
462,363,2021-08-17,0
962,187,2021-08-17,0
113,137,2021-08-17,0
503,137,2021-08-17,0
105,194,2021-08-17,0
94,117,2021-08-17,1
749,282,2021-08-17,0
571,69,2021-08-17,0
51,16,2021-08-17,1
812,295,2021-08-17,0
197,496,2021-08-17,1
287,316,2021-08-17,0
128,60,2021-08-17,0
383,177,2021-08-17,0
972,214,2021-08-17,0
623,467,2021-08-17,0
238,51,2021-08-17,0
14,48,2021-08-17,0
707,268,2021-08-17,0
217,263,2021-08-17,0
667,277,2021-08-17,0
426,95,2021-08-17,0
494,11,2021-08-17,0
228,244,2021-08-17,0
180,196,2021-08-17,0
630,285,2021-08-17,0
498,410,2021-08-17,0
856,483,2021-08-17,0
40,92,2021-08-17,0
566,206,2021-08-17,0
138,94,2021-08-17,0
264,157,2021-08-17,0
482,211,2021-08-17,0
817,45,2021-08-17,0
633,240,2021-08-17,0
751,366,2021-08-17,0
169,237,2021-08-17,0
23,142,2021-08-17,0
893,212,2021-08-17,1
845,435,2021-08-17,0
903,128,2021-08-17,0
168,12,2021-08-17,0
146,32,2021-08-17,0
406,365,2021-08-17,0
316,218,2021-08-17,1
928,76,2021-08-17,0
554,308,2021-08-17,0
856,170,2021-08-17,0
210,94,2021-08-17,0
643,230,2021-08-17,0
407,43,2021-08-17,0
673,66,2021-08-17,0
29,386,2021-08-17,0
102,229,2021-08-17,1
127,144,2021-08-17,0
238,490,2021-08-17,0
829,406,2021-08-17,0
684,316,2021-08-17,0
313,29,2021-08-17,0
495,158,2021-08-17,0
172,387,2021-08-17,0
705,153,2021-08-17,0
48,271,2021-08-17,1
487,82,2021-08-17,0
496,61,2021-08-17,0
120,411,2021-08-17,0
767,203,2021-08-17,1
407,440,2021-08-17,0
571,169,2021-08-17,0
665,312,2021-08-17,0
208,456,2021-08-17,0
72,277,2021-08-17,0
247,499,2021-08-17,0
467,11,2021-08-17,0
941,432,2021-08-17,0
309,74,2021-08-17,1
140,94,2021-08-17,0
623,346,2021-08-17,0
154,429,2021-08-17,0
335,1,2021-08-17,0
965,25,2021-08-17,0
361,131,2021-08-17,0
415,479,2021-08-17,0
44,491,2021-08-17,0
258,410,2021-08-17,0
158,325,2021-08-17,0
754,450,2021-08-17,0
240,152,2021-08-17,0
457,27,2021-08-17,0
830,191,2021-08-17,0
857,252,2021-08-17,0
453,477,2021-08-17,0
564,368,2021-08-17,0
44,414,2021-08-17,0
418,252,2021-08-17,0
942,372,2021-08-17,0
587,119,2021-08-17,0
545,138,2021-08-17,0
685,372,2021-08-17,0
222,114,2021-08-17,0
813,326,2021-08-17,0
704,294,2021-08-17,0
6,185,2021-08-17,0
898,114,2021-08-17,0
388,203,2021-08-17,0
141,90,2021-08-17,1
221,221,2021-08-17,0
711,40,2021-08-17,0
59,174,2021-08-17,0
606,371,2021-08-17,0
684,9,2021-08-17,0
717,12,2021-08-17,0
760,326,2021-08-17,1
542,164,2021-08-17,0
869,32,2021-08-17,0
94,355,2021-08-17,0
860,127,2021-08-17,0
908,104,2021-08-17,0
558,109,2021-08-17,0
812,402,2021-08-17,0
149,403,2021-08-17,1
252,88,2021-08-17,0
813,434,2021-08-17,0
804,495,2021-08-17,0
692,314,2021-08-17,0
153,331,2021-08-17,0
357,358,2021-08-17,0
190,230,2021-08-17,0
627,360,2021-08-17,0
416,72,2021-08-17,0
100,429,2021-08-17,0
538,429,2021-08-17,0
291,443,2021-08-17,1
152,141,2021-08-17,0
529,370,2021-08-17,0
829,426,2021-08-17,0
748,344,2021-08-17,0
546,114,2021-08-17,0
140,279,2021-08-17,0
658,415,2021-08-17,0
402,333,2021-08-17,0
619,473,2021-08-17,0
365,182,2021-08-17,0
853,416,2021-08-17,0
250,50,2021-08-17,0
454,494,2021-08-17,0
92,408,2021-08-17,0
583,472,2021-08-17,0
949,428,2021-08-17,0
569,383,2021-08-17,0
577,99,2021-08-17,0
111,405,2021-08-17,0
450,361,2021-08-17,0
92,10,2021-08-17,0
834,279,2021-08-17,0
683,435,2021-08-17,0
523,220,2021-08-17,0
13,30,2021-08-17,0
